asset,regime,model,in_75% MCS,in_90% MCS,MCS p,n_common
SPX,Pre-publication,HAR,False,False,0.0,3075
SPX,Pre-publication,HARJ,False,False,0.0,3075
SPX,Pre-publication,SHAR,True,True,0.632,3075
SPX,Pre-publication,HARQ,True,True,0.298,3075
SPX,Pre-publication,HARQ_F,True,True,1.0,3075
SPX,Pre-publication,CHAR,False,False,0.0,3075
SPX,Post-pub calm,HAR,True,True,0.532,1494
SPX,Post-pub calm,HARJ,True,True,1.0,1494
SPX,Post-pub calm,HARQ,True,True,0.342,1494
SPX,Post-pub calm,HARQ_F,True,True,0.342,1494
SPX,Post-pub calm,CHAR,True,True,0.342,1494
